"","Happiness Score","GNI per capita, Atlas method (current US$)","Government expenditure on education, total (% of GDP)","Individuals using the Internet (% of population)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Population growth (annual %)","Urban population (% of total population)"
"1",3.575,600,3.255800009,8.26,63.377,0.1299,61.2526558,3.077083595,24.803
"2",4.959,4390,3.437969923,63.2529327,78.025,3.65,19.51253962,-0.291205787,57.434
"3",5.605,4850,6.597,38.2,76.09,1.548,36.08916357,2.045387243,70.848
"4",4.033,4520,5.059,12.4,59.398,0.408,32.72987314,3.438850684,63.446
"5",6.574,12570,5.776110172,68.04306411,76.068,2.6,14.6316259,1.078001344,91.503
"6",4.35,4010,2.80591011,59.10083377,74.467,4.9535,34.88143264,0.450500903,63.085
"7",7.284,60500,5.311270237,84.56051491,82.4,12.2016,9.320015289,1.439216653,85.701
"8",7.2,47450,5.456580162,83.94014193,81.1902439,7.0138,13.54109517,1.120992502,57.715
"9",5.212,6570,2.951679945,77,72.266,6.434,21.41412281,1.191209858,54.714
"10",5.96,22660,2.668080091,93.4783008,76.762,2.4944,72.60467743,2.642471156,88.999
"11",4.694,1220,1.966,14.4,71.514,0.275,66.96574924,1.117283565,34.308
"12",5.813,6710,4.787519932,62.23036091,73.62439024,11.0027,20.07627636,0.159300802,77.181
"13",6.937,45540,6.451570034,85.05294175,80.99268293,11.808,13.56652303,0.579446242,97.876
"14",3.34,1180,3.17298007,11.25498791,60.608,0.389,40.47068263,2.771714168,45.695
"15",5.253,2520,7.590099812,39.8,70.419,1.47,39.81863873,1.219146338,38.678
"16",5.89,2960,7.29,35.56227065,70.277,1.1914,22.47639992,1.512924033,68.393
"17",4.949,5210,3,52.6,76.865,6.1798,29.62283839,-1.526276235,47.173
"18",4.332,6840,6.841,37.31205037,67.338,5.403,24.33025796,1.525307942,67.155
"19",6.983,10190,6.24105978,58.32795173,74.994,9.1081,13.59465562,0.838848283,85.77
"20",4.218,7450,4.093,56.65625161,74.61463415,4.8156,20.77642742,-0.638069468,73.99
"21",3.587,700,3.67008996,14,59.919,0.6698,46.56216758,2.939462977,27.53
"22",2.905,260,6.370540142,4.866224464,60.123,0.666,38.43088048,3.156909217,12.078
"23",3.819,1060,2.163,6.43319107,68.637,0.5889,26.76923854,1.603706854,22.188
"24",4.252,1440,2.768049955,20.68014766,57.583,0.916,77.05174298,2.68179173,54.578
"25",7.427,47570,5.274,90,81.9,9.8188,7.151582145,0.746339478,81.259
"26",3.678,400,1.108,3.8,50.881,0.2063,58.32609851,0.647403919,40.277
"27",3.667,880,2.455,3.5,53.137,0.2525,68.68239375,3.222050147,22.515
"28",6.67,14130,4.875309944,76.62959195,79.646,10.9776,22.56979255,1.177757471,87.36
"29",5.14,7940,1.888,50.3,75.928,2.2914,59.06342246,0.508136747,55.5
"30",6.477,7330,4.470389843,55.90497251,76.531,1.1652,17.30028428,1.167245179,79.764
"31",3.956,1380,2.545059919,7.459161386,63.471,0.629,20.71555746,2.347041066,28.47
"32",3.989,460,2.170439959,3.799999507,59.254,0.9479,44.93118592,3.30283221,42.74
"33",4.517,2420,4.561470032,7.615974662,63.097,0.7932,44.14769514,2.483608177,65.543
"34",7.226,10400,7.082540035,59.76295014,79.565,2.6577,16.87928994,1.086952795,76.862
"35",5.759,12970,3.917,69.84503592,77.27560976,6.192,19.20668151,-0.824099164,56.155
"36",5.689,25960,6.346360207,71.71574092,80.35,4.0345,19.10134763,0.752185523,66.946
"37",6.505,18260,5.788849831,75.6688387,78.57804878,8.371,17.41645169,0.196588748,73.477
"38",7.527,60510,7.816,96.33050162,80.70243902,10.2414,10.65728566,0.70642385,87.526
"39",4.369,2730,3.590240002,11.92243143,64.136,0.729,45.95080851,1.6878089,77.417
"40",4.885,6580,2.047,54.21576634,73.241,1.4547,14.85822076,1.13957128,78.566
"41",5.975,5970,4.998700142,48.94043379,76.143,2.5124,15.69970761,1.617888472,63.398
"42",4.194,3360,3.761,37.81938343,71.302,1.9412,88.21338765,2.207038658,42.785
"43",6.13,3440,3.909879923,26.80260496,72.412,1.7582,26.47473092,0.475363828,69.7
"44",5.429,18680,5.106850147,88.4097035,77.5902439,6.3522,7.003727673,0.06555253,68.416
"45",4.512,600,4.737919807,13.85517556,65.048,0.714,38.85860469,2.756127788,19.428
"46",7.406,47150,7.032080173,86.42213333,81.4804878,14.7,6.063834353,0.329383886,85.225
"47",6.575,41100,5.452,78.00603771,82.32195122,10.5952,12.74570798,0.35556924,79.655
"48",3.896,7970,2.667,45.78453653,64.913,2.9,44.09590117,3.335098786,88.118
"49",4.297,4410,3.521,47.56975964,72.973,4.0174,24.25264627,0.157481405,57.448
"50",6.75,45850,4.834980011,87.58979935,80.64146341,12.9115,12.82609758,0.865702644,77.2
"51",4.633,1940,4.510890007,25,62.772,2.0017,34.68190071,2.268814549,54.086
"52",4.857,20320,3.964,66.83495949,81.03658537,3.501,17.74055711,-0.658861361,78.046
"53",6.123,3700,3.030329943,28.80594156,73.25,0.0536,25.0727261,1.691465093,49.971
"54",3.656,760,2.517139912,8.2,59.598,0.4168,26.94288524,2.48970209,35.141
"55",4.518,820,3.1572299,12.1977,62.485,0.2822,15.5402773,1.379519207,52.427
"56",4.788,2060,6.412970066,27.1,74.495,0.6704,22.40619622,1.741494121,55.165
"57",5.474,41180,3.262120008,84.94835296,84.27804878,6.5,30,0.851197911,100
"58",4.8,13220,4.518660069,72.83473703,75.56829268,6.6852,17.23213014,-0.237855002,70.5
"59",7.561,50160,7.512909889,98.2,82.46829268,16.3144,6.927968941,1.041940387,93.7
"60",4.565,1600,3.845,17,68.607,1.4509,89.3033343,1.116633091,32.777
"61",5.399,3430,3.583600044,22.0627426,70.768,1.299,16.64028042,1.267465577,53.313
"62",4.686,5370,2.797389984,45.33497615,75.796,1.8907,39.61053238,1.316350598,73.358
