player,team,pos,age,salary,netrtg,astpct,rebpct,ts,usg,followers,tov,ftar,vorp,ortg,drtg,orebpct,drebpct,efg,pts,twitter,bpm,ws
Russell Westbrook,OKC,PG,28,26.54,3.3,0.543,0.167,0.554,0.408,4.5,0.159,0.433,9.3,107.9,104.6,0.053,0.279,0.476,31.6,1,11.1,13.1
Boban Marjanovic,DET,C,28,7,1.9,0.054,0.239,0.606,0.248,0,0.06,0.439,0.6,104.3,102.4,0.166,0.313,0.545,5.5,0,5.5,1.7
Demetrius Jackson,BOS,PG,22,1.45,6.3,0.3,0.103,0.753,0.172,0.049,0,1.5,0.1,124.2,117.8,0.091,0.118,0.875,2,1,9.8,0.1
Anthony Davis,NOP,C,24,22.12,1.7,0.11,0.17,0.58,0.326,1.22,0.091,0.424,5.4,104.2,102.5,0.067,0.269,0.518,28,1,5.9,11
James Harden,HOU,PG,27,26.5,6.3,0.505,0.123,0.613,0.341,4.47,0.195,0.575,8,113.6,107.3,0.035,0.212,0.525,29.1,1,8.7,15
Kevin Durant,GSW,PF,28,26.54,16,0.218,0.137,0.651,0.276,16.2,0.104,0.374,5.7,117.2,101.3,0.023,0.232,0.594,25.1,1,8.9,12
LeBron James,CLE,SF,32,30.96,7.7,0.388,0.127,0.619,0.297,37,0.161,0.395,6.7,114.9,107.1,0.04,0.209,0.594,26.4,1,7.6,12.9
Chris Paul,LAC,PG,32,22.87,14.9,0.444,0.089,0.614,0.243,6.4,0.14,0.331,5.2,116.2,101.3,0.025,0.149,0.555,18.1,1,8.7,10.6
DeMarcus Cousins,NOP,C,26,16.96,-2.2,0.262,0.188,0.562,0.364,0.826,0.135,0.468,5.5,106.7,109,0.072,0.305,0.498,24.4,1,6.8,7.6
Giannis Antetokounmpo,MIL,SF,22,2.99,1.5,0.269,0.143,0.599,0.283,0.246,0.133,0.486,6.7,107.4,105.9,0.058,0.226,0.541,22.9,1,7.3,12.4
Kawhi Leonard,SAS,SF,26,17.6,8.6,0.182,0.1,0.61,0.312,0.166,0.091,0.406,7.1,112.6,104,0.038,0.16,0.541,25.5,0,9.4,13.6
Joel Embiid,PHI,C,23,4.82,3.2,0.174,0.173,0.584,0.363,0.793,0.179,0.569,1.3,102.4,99.1,0.092,0.247,0.508,20.2,1,4.5,1.9
Karl-Anthony Towns,MIN,C,21,5.7,-0.9,0.127,0.195,0.618,0.274,0.281,0.113,0.289,5.2,109.9,110.8,0.114,0.277,0.576,25.1,1,4.7,12.7
Nikola Jokic,DEN,C,22,1.3,5.1,0.266,0.197,0.64,0.234,0.009,0.152,0.267,4.8,114.9,109.8,0.119,0.272,0.605,16.7,1,7.3,9.7
Jimmy Butler,CHI,SF,27,16.4,3,0.243,0.09,0.586,0.265,0.469,0.093,0.54,6.6,106.4,103.4,0.05,0.131,0.492,23.9,1,7.3,13.8
Hassan Whiteside,MIA,C,28,22.12,1.3,0.037,0.239,0.579,0.226,0.164,0.12,0.368,2.2,106.6,105.3,0.129,0.349,0.557,17,1,1.5,9.5
Rudy Gobert,UTA,C,25,2.1,8.1,0.057,0.217,0.681,0.167,0.195,0.15,0.762,4.4,108.7,100.6,0.138,0.288,0.661,14,1,4.4,14.3
Isaiah Thomas,BOS,PG,28,6.58,5,0.305,0.045,0.625,0.337,0.639,0.107,0.441,5.6,113.6,108.6,0.019,0.07,0.546,28.9,1,6.7,12.5
Mike Conley,MEM,PG,29,26.54,3.1,0.329,0.061,0.604,0.263,0.342,0.118,0.365,5.1,108.6,105.5,0.015,0.108,0.545,20.5,1,6.8,10
Damian Lillard,POR,PG,26,24.33,1.2,0.277,0.075,0.586,0.309,1.34,0.102,0.366,4.8,110.1,108.9,0.018,0.134,0.516,27,1,5,10.4
Gordon Hayward,UTA,SF,27,15.41,7.1,0.179,0.09,0.595,0.276,0.252,0.094,0.371,4.5,109.5,102.4,0.023,0.152,0.536,21.9,1,5,10.4
DeMar DeRozan,TOR,SG,27,26.54,3.3,0.204,0.083,0.552,0.342,0.58,0.09,0.419,3.3,110.2,107,0.03,0.134,0.477,27.3,1,3,9
Joel Bolomboy,UTA,PF,23,0.6,11.3,0.065,0.172,0.59,0.18,0.009,0.097,0.375,0.1,106.3,95,0.083,0.255,0.594,1.8,1,3.4,0.2
